LABEL,names
393,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC
394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC
395,OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC
405,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC"
406,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC"
407,"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC"
408,BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC
409,BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC
410,BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC
411,CHOLECYSTECTOMY WITH C.D.E. WITH MCC
412,CHOLECYSTECTOMY WITH C.D.E. WITH CC
413,CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E.  WITHOUT CC/MCC
417,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC
418,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC
419,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC
422,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC
424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC
432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC
433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC
434,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC
437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC
441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC"
442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC"
443,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC"
444,DISORDERS OF THE BILIARY TRACT WITH MCC
445,DISORDERS OF THE BILIARY TRACT WITH CC
446,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC
453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH MCC
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH CC
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITHOUT CC/MCC
456,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS
457,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS
458,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS
459,SPINAL FUSION EXCEPT CERVICAL WITH MCC
460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC
461,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC
463,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND  CONNECTIVE TISSUE DISOR
464,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORD
465,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORD
466,REVISION OF HIP OR KNEE REPLACEMENT WITH MCC
467,REVISION OF HIP OR KNEE REPLACEMENT WITH CC
468,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTAL ANKLE REPL
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
471,CERVICAL SPINAL FUSION WITH MCC
472,CERVICAL SPINAL FUSION WITH CC
473,CERVICAL SPINAL FUSION WITHOUT CC/MCC
474,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
475,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
476,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC
479,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC
480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC
481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC
482,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES
485,KNEE PROCEDURES WITH PDX OF INFECTION WITH MCC
486,KNEE PROCEDURES WITH PDX OF INFECTION WITH CC
487,KNEE PROCEDURES WITH PDX OF INFECTION WITHOUT CC/MCC
488,KNEE PROCEDURES WITHOUT PDX OF INFECTION WITH CC/MCC
489,KNEE PROCEDURES WITHOUT PDX OF INFECTION  WITHOUT CC/MCC
492,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC"
493,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC"
494,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC"
495,LOCAL EXCISION AND REMOVAL  OF INTERNAL  FIXATION DEVICES EXCEPT  HIP AND FEMUR WITH MCC
496,LOCAL EXCISION AND REMOVAL  OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC
497,LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC
498,LOCAL EXCISION AND REMOVAL INTERNAL  FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC
499,LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC
500,SOFT TISSUE PROCEDURES WITH MCC
501,SOFT TISSUE PROCEDURES WITH CC
502,SOFT TISSUE PROCEDURES WITHOUT CC/MCC
503,FOOT PROCEDURES WITH MCC
504,FOOT PROCEDURES WITH CC
505,FOOT PROCEDURES WITHOUT CC/MCC
506,MAJOR THUMB OR JOINT PROCEDURES
507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC
508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC
509,ARTHROSCOPY
510,"SHOULDER,  ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC"
511,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC"
512,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC"
513,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC"
514,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC"
515,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC
516,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC
517,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC
518,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR
519,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC
520,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC
533,FRACTURES OF FEMUR WITH MCC
534,FRACTURES OF FEMUR WITHOUT MCC
535,FRACTURES OF HIP AND PELVIS WITH MCC
536,FRACTURES OF HIP AND PELVIS WITHOUT MCC
537,"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH CC/MCC"
538,"SPRAINS, STRAINS,  AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITHOUT CC/MCC"
539,OSTEOMYELITIS WITH MCC
540,OSTEOMYELITIS WITH CC
541,OSTEOMYELITIS WITHOUT CC/MCC
542,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC
543,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY  WITH CC
544,PATHOLOGICAL FRACTURES AND  MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC
545,CONNECTIVE TISSUE DISORDERS WITH MCC
546,CONNECTIVE TISSUE DISORDERS WITH CC
547,CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
548,SEPTIC ARTHRITIS WITH MCC
549,SEPTIC ARTHRITIS WITH CC
550,SEPTIC ARTHRITIS WITHOUT CC/MCC
551,MEDICAL BACK PROBLEMS WITH MCC
552,MEDICAL BACK PROBLEMS WITHOUT MCC
553,BONE DISEASES AND ARTHROPATHIES WITH MCC
554,BONE DISEASES AND ARTHROPATHIES WITHOUT MCC
555,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
556,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC
557,"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC"
558,"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC"
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC"
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC"
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC"
562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC"
563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC"
564,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC
565,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC
566,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC
570,SKIN DEBRIDEMENT WITH MCC
571,SKIN DEBRIDEMENT WITH CC
572,SKIN DEBRIDEMENT WITHOUT CC/MCC
573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC
574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC
575,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
576,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC
577,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC
578,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
579,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC"
580,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC"
581,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC"
582,MASTECTOMY FOR MALIGNANCY WITH CC/MCC
583,MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC
584,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC"
585,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC"
592,SKIN ULCERS WITH MCC
593,SKIN ULCERS WITH CC
594,SKIN ULCERS WITHOUT CC/MCC
595,MAJOR SKIN DISORDERS WITH MCC
596,MAJOR SKIN DISORDERS WITHOUT MCC
597,MALIGNANT BREAST DISORDERS WITH MCC
598,MALIGNANT BREAST DISORDERS WITH CC
599,MALIGNANT BREAST DISORDERS WITHOUT CC/MCC
600,NON-MALIGNANT BREAST DISORDERS WITH CC/MCC
601,NON-MALIGNANT BREAST DISORDERS WITHOUT CC/MCC
602,CELLULITIS WITH MCC
603,CELLULITIS WITHOUT MCC
604,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC"
605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC"
606,MINOR SKIN DISORDERS WITH MCC
607,MINOR SKIN DISORDERS WITHOUT MCC
614,ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC
615,ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC
616,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC"
617,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC"
618,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC"
619,O.R. PROCEDURES FOR OBESITY WITH MCC
620,O.R. PROCEDURES FOR OBESITY WITH CC
621,O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC
622,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL  AND METABOLIC DISORDERS WITH MCC"
623,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL  AND METABOLIC DISORDERS WITH CC"
624,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL  AND METABOLIC DISORDERS WITHOUT CC/MCC"
625,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MCC"
626,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC"
627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC"
628,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC"
629,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC"
630,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITHOUT CC/MCC"
637,DIABETES WITH MCC
638,DIABETES WITH CC
639,DIABETES WITHOUT CC/MCC
640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM , FLUIDS AND ELECTROLYTES WITH MCC"
641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM , FLUIDS AND ELECTROLYTES WITHOUT MCC"
642,INBORN AND OTHER DISORDERS OF METABOLISM
643,ENDOCRINE DISORDERS WITH MCC
644,ENDOCRINE DISORDERS WITH CC
645,ENDOCRINE DISORDERS WITHOUT CC/MCC
652,KIDNEY TRANSPLANT
653,MAJOR BLADDER PROCEDURES WITH MCC
654,MAJOR BLADDER PROCEDURES WITH CC
655,MAJOR BLADDER PROCEDURES WITHOUT CC/MCC
656,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC
657,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC
658,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC
659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC
660,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC
661,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC
662,MINOR BLADDER PROCEDURES WITH MCC
663,MINOR BLADDER PROCEDURES WITH CC
664,MINOR BLADDER PROCEDURES WITHOUT CC/MCC
665,PROSTATECTOMY WITH MCC
666,PROSTATECTOMY WITH CC
667,PROSTATECTOMY WITHOUT CC/MCC
668,TRANSURETHRAL PROCEDURES WITH MCC
669,TRANSURETHRAL PROCEDURES WITH CC
670,TRANSURETHRAL PROCEDURES WITHOUT CC/MCC
671,URETHRAL PROCEDURES WITH CC/MCC
672,URETHRAL PROCEDURES WITHOUT CC/MCC
673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC
674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC
675,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT CC/MCC
682,RENAL FAILURE WITH MCC
683,RENAL FAILURE WITH CC
684,RENAL FAILURE WITHOUT CC/MCC
685,ADMIT FOR RENAL DIALYSIS
686,KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC
687,KIDNEY AND URINARY TRACT NEOPLASMS WITH CC
688,KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT CC/MCC
689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC
691,URINARY STONES WITH ESW LITHOTRIPSY WITH CC/MCC
692,URINARY STONES WITH ESW LITHOTRIPSY WITHOUT CC/MCC
693,URINARY STONES WITHOUT ESW LITHOTRIPSY WITH MCC
694,URINARY STONES  WITHOUT ESW LITHOTRIPSY WITHOUT MCC
695,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MCC
696,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC
697,URETHRAL STRICTURE
698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC
699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC
700,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC
707,MAJOR MALE PELVIC PROCEDURES WITH CC/MCC
708,MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC
709,PENIS PROCEDURES WITH CC/MCC
710,PENIS PROCEDURES WITHOUT CC/MCC
711,TESTES PROCEDURES WITH CC/MCC
712,TESTES PROCEDURES WITHOUT CC/MCC
713,TRANSURETHRAL PROSTATECTOMY WITH CC/MCC
714,TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC
715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH CC/MCC
716,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC
718,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXCEPT MALIGNANCY WITHOUT CC/MCC
722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC"
723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH CC"
724,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC"
725,BENIGN PROSTATIC HYPERTROPHY WITH MCC
726,BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC
727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MCC
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC
729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH CC/MCC
730,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC
734,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC"
735,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC"
736,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC
737,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC
738,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY  WITHOUT CC/MCC
739,"UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC"
740,"UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC"
741,"UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC"
742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC
743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC
744,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC"
745,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC"
746,"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC"
747,"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC"
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC
750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC"
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC"
756,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC"
757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MCC"
758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC"
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC"
760,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC
761,MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT CC/MCC
765,CESAREAN SECTION WITH CC/MCC
766,CESAREAN SECTION WITHOUT CC/MCC
767,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
768,VAGINAL DELIVERY WITH O.R. PROCEDURE EXCEPT STERILIZATION AND/OR D&C
769,POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURE
770,"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"
774,VAGINAL DELIVERY WITH COMPLICATING DIAGNOSES
775,VAGINAL DELIVERY WITHOUT COMPLICATING DIAGNOSES
776,POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURE
777,ECTOPIC PREGNANCY
778,THREATENED ABORTION
779,ABORTION WITHOUT D&C
780,FALSE LABOR
781,OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS
782,OTHER ANTEPARTUM DIAGNOSES WITHOUT MEDICAL COMPLICATIONS
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY"
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE"
791,PREMATURITY WITH MAJOR PROBLEMS
792,PREMATURITY WITHOUT MAJOR PROBLEMS
793,FULL TERM NEONATE WITH MAJOR PROBLEMS
794,NEONATE WITH OTHER SIGNIFICANT PROBLEMS
795,NORMAL NEWBORN
799,SPLENECTOMY WITH MCC
800,SPLENECTOMY WITH CC
801,SPLENECTOMY WITHOUT CC/MCC
802,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MCC
803,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH CC
804,OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT CC/MCC
808,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS
809,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS
810,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS
811,RED BLOOD CELL DISORDERS WITH MCC
812,RED BLOOD CELL DISORDERS WITHOUT MCC
813,COAGULATION DISORDERS
814,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC
815,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC
816,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT CC/MCC
820,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH MCC
821,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH CC
822,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITHOUT CC/MCC
823,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURE WITH MCC
824,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURE WITH CC
825,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURE WITHOUT CC/MCC
826,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE  WITH MCC
827,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH CC
828,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITHOUT CC
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURE WITH CC/MCC
830,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURE WITHOUT CC/MCC
834,ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH MCC
835,ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH CC
