County,Year,Sex,Disease,Cases
Siskiyou,2018,Total,Pertussis,0
Solano,2018,Total,Pertussis,49
Sonoma,2018,Total,Pertussis,149
Stanislaus,2018,Total,Pertussis,11
Sutter,2018,Total,Pertussis,0
Tehama,2018,Total,Pertussis,0
Trinity,2018,Total,Pertussis,0
Tulare,2018,Total,Pertussis,8
Tuolumne,2018,Total,Pertussis,1
Ventura,2018,Total,Pertussis,66
Yolo,2018,Total,Pertussis,24
Yuba,2018,Total,Pertussis,3
Alameda,2018,Total,Rubella,0
Alpine,2018,Total,Rubella,0
Amador,2018,Total,Rubella,0
Butte,2018,Total,Rubella,0
Calaveras,2018,Total,Rubella,0
California,2018,Total,Rubella,0
Colusa,2018,Total,Rubella,0
Contra Costa,2018,Total,Rubella,0
Del Norte,2018,Total,Rubella,0
El Dorado,2018,Total,Rubella,0
Fresno,2018,Total,Rubella,0
Glenn,2018,Total,Rubella,0
Humboldt,2018,Total,Rubella,0
Imperial,2018,Total,Rubella,0
Inyo,2018,Total,Rubella,0
Kern,2018,Total,Rubella,0
Kings,2018,Total,Rubella,0
Lake,2018,Total,Rubella,0
Lassen,2018,Total,Rubella,0
Los Angeles,2018,Total,Rubella,0
Madera,2018,Total,Rubella,0
Marin,2018,Total,Rubella,0
Mariposa,2018,Total,Rubella,0
Mendocino,2018,Total,Rubella,0
Merced,2018,Total,Rubella,0
Modoc,2018,Total,Rubella,0
Mono,2018,Total,Rubella,0
Monterey,2018,Total,Rubella,0
Napa,2018,Total,Rubella,0
Nevada,2018,Total,Rubella,0
Orange,2018,Total,Rubella,0
Placer,2018,Total,Rubella,0
Plumas,2018,Total,Rubella,0
Riverside,2018,Total,Rubella,0
Sacramento,2018,Total,Rubella,0
San Benito,2018,Total,Rubella,0
San Bernardino,2018,Total,Rubella,0
San Diego,2018,Total,Rubella,0
San Francisco,2018,Total,Rubella,0
San Joaquin,2018,Total,Rubella,0
San Luis Obispo,2018,Total,Rubella,0
San Mateo,2018,Total,Rubella,0
Santa Barbara,2018,Total,Rubella,0
Santa Clara,2018,Total,Rubella,0
Santa Cruz,2018,Total,Rubella,0
Shasta,2018,Total,Rubella,0
Sierra,2018,Total,Rubella,0
Siskiyou,2018,Total,Rubella,0
Solano,2018,Total,Rubella,0
Sonoma,2018,Total,Rubella,0
Stanislaus,2018,Total,Rubella,0
Sutter,2018,Total,Rubella,0
Tehama,2018,Total,Rubella,0
Trinity,2018,Total,Rubella,0
Tulare,2018,Total,Rubella,0
Tuolumne,2018,Total,Rubella,0
Ventura,2018,Total,Rubella,0
Yolo,2018,Total,Rubella,0
Yuba,2018,Total,Rubella,0
Alameda,2018,Total,Tetanus,0
Alpine,2018,Total,Tetanus,0
Amador,2018,Total,Tetanus,0
Butte,2018,Total,Tetanus,0
Calaveras,2018,Total,Tetanus,0
California,2018,Total,Tetanus,0
Colusa,2018,Total,Tetanus,0
Contra Costa,2018,Total,Tetanus,0
Del Norte,2018,Total,Tetanus,0
El Dorado,2018,Total,Tetanus,0
Fresno,2018,Total,Tetanus,0
Glenn,2018,Total,Tetanus,0
Humboldt,2018,Total,Tetanus,0
Imperial,2018,Total,Tetanus,0
Inyo,2018,Total,Tetanus,0
Kern,2018,Total,Tetanus,0
Kings,2018,Total,Tetanus,0
Lake,2018,Total,Tetanus,0
Lassen,2018,Total,Tetanus,0
Los Angeles,2018,Total,Tetanus,0
Madera,2018,Total,Tetanus,0
Marin,2018,Total,Tetanus,0
Mariposa,2018,Total,Tetanus,0
Mendocino,2018,Total,Tetanus,0
Merced,2018,Total,Tetanus,0
Modoc,2018,Total,Tetanus,0
Mono,2018,Total,Tetanus,0
Monterey,2018,Total,Tetanus,0
Napa,2018,Total,Tetanus,0
Nevada,2018,Total,Tetanus,0
Orange,2018,Total,Tetanus,0
Placer,2018,Total,Tetanus,0
Plumas,2018,Total,Tetanus,0
Riverside,2018,Total,Tetanus,0
Sacramento,2018,Total,Tetanus,0
San Benito,2018,Total,Tetanus,0
San Bernardino,2018,Total,Tetanus,0
San Diego,2018,Total,Tetanus,0
San Francisco,2018,Total,Tetanus,0
San Joaquin,2018,Total,Tetanus,0
San Luis Obispo,2018,Total,Tetanus,0
San Mateo,2018,Total,Tetanus,0
Santa Barbara,2018,Total,Tetanus,0
Santa Clara,2018,Total,Tetanus,0
Santa Cruz,2018,Total,Tetanus,0
Shasta,2018,Total,Tetanus,0
Sierra,2018,Total,Tetanus,0
Siskiyou,2018,Total,Tetanus,0
Solano,2018,Total,Tetanus,0
Sonoma,2018,Total,Tetanus,0
Stanislaus,2018,Total,Tetanus,0
Sutter,2018,Total,Tetanus,0
Tehama,2018,Total,Tetanus,0
Trinity,2018,Total,Tetanus,0
Tulare,2018,Total,Tetanus,0
Tuolumne,2018,Total,Tetanus,0
Ventura,2018,Total,Tetanus,0
Yolo,2018,Total,Tetanus,0
Yuba,2018,Total,Tetanus,0
Alameda,2018,Total,Varicella Hospitalizations,6
Alpine,2018,Total,Varicella Hospitalizations,0
Amador,2018,Total,Varicella Hospitalizations,0
Butte,2018,Total,Varicella Hospitalizations,0
Calaveras,2018,Total,Varicella Hospitalizations,0
California,2018,Total,Varicella Hospitalizations,40
Colusa,2018,Total,Varicella Hospitalizations,0
Contra Costa,2018,Total,Varicella Hospitalizations,1
Del Norte,2018,Total,Varicella Hospitalizations,0
El Dorado,2018,Total,Varicella Hospitalizations,0
Fresno,2018,Total,Varicella Hospitalizations,2
Glenn,2018,Total,Varicella Hospitalizations,0
Humboldt,2018,Total,Varicella Hospitalizations,0
Imperial,2018,Total,Varicella Hospitalizations,0
Inyo,2018,Total,Varicella Hospitalizations,0
Kern,2018,Total,Varicella Hospitalizations,1
Kings,2018,Total,Varicella Hospitalizations,0
Lake,2018,Total,Varicella Hospitalizations,0
Lassen,2018,Total,Varicella Hospitalizations,0
Los Angeles,2018,Total,Varicella Hospitalizations,10
Madera,2018,Total,Varicella Hospitalizations,0
Marin,2018,Total,Varicella Hospitalizations,0
Mariposa,2018,Total,Varicella Hospitalizations,0
Mendocino,2018,Total,Varicella Hospitalizations,0
Merced,2018,Total,Varicella Hospitalizations,0
Modoc,2018,Total,Varicella Hospitalizations,0
Mono,2018,Total,Varicella Hospitalizations,0
Monterey,2018,Total,Varicella Hospitalizations,1
Napa,2018,Total,Varicella Hospitalizations,0
Nevada,2018,Total,Varicella Hospitalizations,0
Orange,2018,Total,Varicella Hospitalizations,2
Placer,2018,Total,Varicella Hospitalizations,0
Plumas,2018,Total,Varicella Hospitalizations,0
Riverside,2018,Total,Varicella Hospitalizations,0
Sacramento,2018,Total,Varicella Hospitalizations,4
San Benito,2018,Total,Varicella Hospitalizations,0
San Bernardino,2018,Total,Varicella Hospitalizations,2
San Diego,2018,Total,Varicella Hospitalizations,4
San Francisco,2018,Total,Varicella Hospitalizations,1
San Joaquin,2018,Total,Varicella Hospitalizations,0
San Luis Obispo,2018,Total,Varicella Hospitalizations,0
San Mateo,2018,Total,Varicella Hospitalizations,1
Santa Barbara,2018,Total,Varicella Hospitalizations,0
Santa Clara,2018,Total,Varicella Hospitalizations,3
Santa Cruz,2018,Total,Varicella Hospitalizations,0
Shasta,2018,Total,Varicella Hospitalizations,0
Sierra,2018,Total,Varicella Hospitalizations,0
Siskiyou,2018,Total,Varicella Hospitalizations,0
Solano,2018,Total,Varicella Hospitalizations,0
Sonoma,2018,Total,Varicella Hospitalizations,1
Stanislaus,2018,Total,Varicella Hospitalizations,0
Sutter,2018,Total,Varicella Hospitalizations,1
Tehama,2018,Total,Varicella Hospitalizations,0
Trinity,2018,Total,Varicella Hospitalizations,0
Tulare,2018,Total,Varicella Hospitalizations,0
Tuolumne,2018,Total,Varicella Hospitalizations,0
Ventura,2018,Total,Varicella Hospitalizations,0
Yolo,2018,Total,Varicella Hospitalizations,0
Yuba,2018,Total,Varicella Hospitalizations,0
California,2019,Total,TB,2115
Alameda,2019,Total,TB,114
Alpine,2019,Total,TB,0
Amador,2019,Total,TB,0
Berkeley,2019,Total,TB,4
Butte,2019,Total,TB,3
Calaveras,2019,Total,TB,0
Colusa,2019,Total,TB,0
Contra Costa,2019,Total,TB,58
Del Norte,2019,Total,TB,0
El Dorado,2019,Total,TB,0
Fresno,2019,Total,TB,38
Glenn,2019,Total,TB,0
Humboldt,2019,Total,TB,0
Imperial,2019,Total,TB,61
Inyo,2019,Total,TB,0
Kern,2019,Total,TB,26
Kings,2019,Total,TB,2
Lake,2019,Total,TB,1
Lassen,2019,Total,TB,0
Long Beach,2019,Total,TB,20
Los Angeles,2019,Total,TB,537
Madera,2019,Total,TB,5
Marin,2019,Total,TB,8
Mariposa,2019,Total,TB,0
Mendocino,2019,Total,TB,2
Merced,2019,Total,TB,11
Modoc,2019,Total,TB,0
Mono,2019,Total,TB,0
Monterey,2019,Total,TB,12
Napa,2019,Total,TB,3
Nevada,2019,Total,TB,0
Orange,2019,Total,TB,173
Pasadena,2019,Total,TB,7
Placer,2019,Total,TB,4
Plumas,2019,Total,TB,0
Riverside,2019,Total,TB,76
Sacramento,2019,Total,TB,73
San Benito,2019,Total,TB,1
San Bernardino,2019,Total,TB,74
San Diego,2019,Total,TB,265
San Francisco,2019,Total,TB,105
San Joaquin,2019,Total,TB,59
San Luis Obispo,2019,Total,TB,6
San Mateo,2019,Total,TB,66
Santa Barbara,2019,Total,TB,24
Santa Clara,2019,Total,TB,164
Santa Cruz,2019,Total,TB,4
Shasta,2019,Total,TB,2
Sierra,2019,Total,TB,0
Siskiyou,2019,Total,TB,0
Solano,2019,Total,TB,31
Sonoma,2019,Total,TB,6
Stanislaus,2019,Total,TB,17
Sutter,2019,Total,TB,4
Tehama,2019,Total,TB,0
Trinity,2019,Total,TB,0
Tulare,2019,Total,TB,12
Tuolumne,2019,Total,TB,1
Ventura,2019,Total,TB,27
Yolo,2019,Total,TB,9
Yuba,2019,Total,TB,0
Alameda,2017,Total,Amebiasis,56
Alameda,2017,Total,Anaplasmosis,1
Alameda,2017,Total,Anthrax,0
Alameda,2017,Total,Babesiosis,0
Alameda,2017,Total,"Botulism, Foodborne",0
Alameda,2017,Total,"Botulism, Other",0
Alameda,2017,Total,"Botulism, Wound",0
Alameda,2017,Total,Brucellosis,2
Alameda,2017,Total,Campylobacteriosis,537
Alameda,2017,Total,Chikungunya Virus Infection,3
Alameda,2017,Total,Cholera,0
Alameda,2017,Total,Ciguatera Fish Poisoning,0
Alameda,2017,Total,Coccidioidomycosis,67
Alameda,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,2
Alameda,2017,Total,Cryptosporidiosis,28
Alameda,2017,Total,Cyclosporiasis,2
Alameda,2017,Total,Cysticercosis or Taeniasis,2
Alameda,2017,Total,Dengue,20
Alameda,2017,Total,Domoic Acid Poisoning,0
Alameda,2017,Total,E. coli O157,34
Alameda,2017,Total,E. coli Other STEC (non-O157),72
Alameda,2017,Total,Ehrlichiosis,1
Alameda,2017,Total,Flavivirus Infection of Undetermined Species,0
Alameda,2017,Total,Giardiasis,257
Alameda,2017,Total,Hantavirus Infection,1
Alameda,2017,Total,Hemolytic Uremic Syndrome,4
Alameda,2017,Total,"Hepatitis E, acute infection",2
Alameda,2017,Total,Legionellosis,18
Alameda,2017,Total,Leprosy,0
Alameda,2017,Total,Leptospirosis,0
Alameda,2017,Total,Listeriosis,8
Alameda,2017,Total,Lyme Disease,14
Alameda,2017,Total,Malaria,16
Alameda,2017,Total,Paralytic Shellfish Poisoning,0
Alameda,2017,Total,"Plague, human",0
Alameda,2017,Total,Psittacosis,0
Alameda,2017,Total,Q Fever,1
Alameda,2017,Total,"Rabies, human",0
Alameda,2017,Total,Relapsing Fever,0
Alameda,2017,Total,Salmonellosis,259
Alameda,2017,Total,Scombroid Fish Poisoning,0
Alameda,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),17
Alameda,2017,Total,Shigellosis,144
Alameda,2017,Total,Spotted Fever Rickettsiosis,4
Alameda,2017,Total,Streptococcal Infection (cases in food and dairy workers),1
Alameda,2017,Total,Trichinosis,3
Alameda,2017,Total,Tularemia,1
Alameda,2017,Total,"Typhoid Fever, case",12
Alameda,2017,Total,Typhus Fever,1
Alameda,2017,Total,Vibrio Infection (non-Cholera),6
Alameda,2017,Total,Yellow Fever,0
Alameda,2017,Total,Yersiniosis,8
Alameda,2017,Total,Zika Virus Infection,10
Alpine,2017,Total,Amebiasis,0
Alpine,2017,Total,Anaplasmosis,0
Alpine,2017,Total,Anthrax,0
Alpine,2017,Total,Babesiosis,0
Alpine,2017,Total,"Botulism, Foodborne",0
Alpine,2017,Total,"Botulism, Other",0
Alpine,2017,Total,"Botulism, Wound",0
Alpine,2017,Total,Brucellosis,0
Alpine,2017,Total,Campylobacteriosis,0
Alpine,2017,Total,Chikungunya Virus Infection,0
Alpine,2017,Total,Cholera,0
Alpine,2017,Total,Ciguatera Fish Poisoning,0
Alpine,2017,Total,Coccidioidomycosis,0
Alpine,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Alpine,2017,Total,Cryptosporidiosis,0
Alpine,2017,Total,Cyclosporiasis,0
Alpine,2017,Total,Cysticercosis or Taeniasis,0
Alpine,2017,Total,Dengue,0
Alpine,2017,Total,Domoic Acid Poisoning,0
Alpine,2017,Total,E. coli O157,1
Alpine,2017,Total,E. coli Other STEC (non-O157),0
Alpine,2017,Total,Ehrlichiosis,0
Alpine,2017,Total,Flavivirus Infection of Undetermined Species,0
Alpine,2017,Total,Giardiasis,0
Alpine,2017,Total,Hantavirus Infection,0
Alpine,2017,Total,Hemolytic Uremic Syndrome,0
Alpine,2017,Total,"Hepatitis E, acute infection",0
Alpine,2017,Total,Legionellosis,0
Alpine,2017,Total,Leprosy,0
Alpine,2017,Total,Leptospirosis,0
Alpine,2017,Total,Listeriosis,0
Alpine,2017,Total,Lyme Disease,0
Alpine,2017,Total,Malaria,0
Alpine,2017,Total,Paralytic Shellfish Poisoning,0
Alpine,2017,Total,"Plague, human",0
Alpine,2017,Total,Psittacosis,0
Alpine,2017,Total,Q Fever,0
Alpine,2017,Total,"Rabies, human",0
Alpine,2017,Total,Relapsing Fever,0
Alpine,2017,Total,Salmonellosis,0
Alpine,2017,Total,Scombroid Fish Poisoning,0
Alpine,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Alpine,2017,Total,Shigellosis,0
Alpine,2017,Total,Spotted Fever Rickettsiosis,0
Alpine,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Alpine,2017,Total,Trichinosis,0
Alpine,2017,Total,Tularemia,0
Alpine,2017,Total,"Typhoid Fever, case",0
Alpine,2017,Total,Typhus Fever,0
Alpine,2017,Total,Vibrio Infection (non-Cholera),0
Alpine,2017,Total,Yellow Fever,0
Alpine,2017,Total,Yersiniosis,0
Alpine,2017,Total,Zika Virus Infection,0
Amador,2017,Total,Amebiasis,0
Amador,2017,Total,Anaplasmosis,0
Amador,2017,Total,Anthrax,0
Amador,2017,Total,Babesiosis,0
Amador,2017,Total,"Botulism, Foodborne",0
Amador,2017,Total,"Botulism, Other",0
Amador,2017,Total,"Botulism, Wound",0
Amador,2017,Total,Brucellosis,0
Amador,2017,Total,Campylobacteriosis,6
Amador,2017,Total,Chikungunya Virus Infection,0
Amador,2017,Total,Cholera,0
Amador,2017,Total,Ciguatera Fish Poisoning,0
Amador,2017,Total,Coccidioidomycosis,1
Amador,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Amador,2017,Total,Cryptosporidiosis,1
Amador,2017,Total,Cyclosporiasis,0
Amador,2017,Total,Cysticercosis or Taeniasis,0
Amador,2017,Total,Dengue,0
Amador,2017,Total,Domoic Acid Poisoning,0
Amador,2017,Total,E. coli O157,1
Amador,2017,Total,E. coli Other STEC (non-O157),0
Amador,2017,Total,Ehrlichiosis,0
Amador,2017,Total,Flavivirus Infection of Undetermined Species,0
Amador,2017,Total,Giardiasis,3
Amador,2017,Total,Hantavirus Infection,0
Amador,2017,Total,Hemolytic Uremic Syndrome,0
Amador,2017,Total,"Hepatitis E, acute infection",0
Amador,2017,Total,Legionellosis,0
Amador,2017,Total,Leprosy,0
Amador,2017,Total,Leptospirosis,0
Amador,2017,Total,Listeriosis,0
Amador,2017,Total,Lyme Disease,0
Amador,2017,Total,Malaria,0
Amador,2017,Total,Paralytic Shellfish Poisoning,0
Amador,2017,Total,"Plague, human",0
Amador,2017,Total,Psittacosis,0
Amador,2017,Total,Q Fever,0
Amador,2017,Total,"Rabies, human",0
Amador,2017,Total,Relapsing Fever,0
Amador,2017,Total,Salmonellosis,3
Amador,2017,Total,Scombroid Fish Poisoning,0
Amador,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Amador,2017,Total,Shigellosis,0
Amador,2017,Total,Spotted Fever Rickettsiosis,0
Amador,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Amador,2017,Total,Trichinosis,0
Amador,2017,Total,Tularemia,0
Amador,2017,Total,"Typhoid Fever, case",0
Amador,2017,Total,Typhus Fever,0
Amador,2017,Total,Vibrio Infection (non-Cholera),1
Amador,2017,Total,Yellow Fever,0
Amador,2017,Total,Yersiniosis,1
Amador,2017,Total,Zika Virus Infection,0
Butte,2017,Total,Amebiasis,0
Butte,2017,Total,Anaplasmosis,0
Butte,2017,Total,Anthrax,0
Butte,2017,Total,Babesiosis,0
Butte,2017,Total,"Botulism, Foodborne",0
Butte,2017,Total,"Botulism, Other",0
Butte,2017,Total,"Botulism, Wound",0
Butte,2017,Total,Brucellosis,0
Butte,2017,Total,Campylobacteriosis,97
Butte,2017,Total,Chikungunya Virus Infection,0
Butte,2017,Total,Cholera,0
Butte,2017,Total,Ciguatera Fish Poisoning,0
Butte,2017,Total,Coccidioidomycosis,4
Butte,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,1
Butte,2017,Total,Cryptosporidiosis,9
Butte,2017,Total,Cyclosporiasis,0
Butte,2017,Total,Cysticercosis or Taeniasis,1
Butte,2017,Total,Dengue,1
Butte,2017,Total,Domoic Acid Poisoning,0
Butte,2017,Total,E. coli O157,4
Butte,2017,Total,E. coli Other STEC (non-O157),3
Butte,2017,Total,Ehrlichiosis,0
Butte,2017,Total,Flavivirus Infection of Undetermined Species,0
Butte,2017,Total,Giardiasis,28
Butte,2017,Total,Hantavirus Infection,0
Butte,2017,Total,Hemolytic Uremic Syndrome,0
Butte,2017,Total,"Hepatitis E, acute infection",0
Butte,2017,Total,Legionellosis,1
Butte,2017,Total,Leprosy,0
Butte,2017,Total,Leptospirosis,0
Butte,2017,Total,Listeriosis,0
Butte,2017,Total,Lyme Disease,0
Butte,2017,Total,Malaria,0
Butte,2017,Total,Paralytic Shellfish Poisoning,0
Butte,2017,Total,"Plague, human",0
Butte,2017,Total,Psittacosis,0
Butte,2017,Total,Q Fever,0
Butte,2017,Total,"Rabies, human",0
Butte,2017,Total,Relapsing Fever,0
Butte,2017,Total,Salmonellosis,40
Butte,2017,Total,Scombroid Fish Poisoning,0
Butte,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Butte,2017,Total,Shigellosis,4
Butte,2017,Total,Spotted Fever Rickettsiosis,0
Butte,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Butte,2017,Total,Trichinosis,0
Butte,2017,Total,Tularemia,0
Butte,2017,Total,"Typhoid Fever, case",0
Butte,2017,Total,Typhus Fever,0
Butte,2017,Total,Vibrio Infection (non-Cholera),0
Butte,2017,Total,Yellow Fever,0
Butte,2017,Total,Yersiniosis,0
Butte,2017,Total,Zika Virus Infection,0
Calaveras,2017,Total,Amebiasis,0
Calaveras,2017,Total,Anaplasmosis,0
Calaveras,2017,Total,Anthrax,0
Calaveras,2017,Total,Babesiosis,0
Calaveras,2017,Total,"Botulism, Foodborne",0
Calaveras,2017,Total,"Botulism, Other",0
Calaveras,2017,Total,"Botulism, Wound",0
Calaveras,2017,Total,Brucellosis,0
Calaveras,2017,Total,Campylobacteriosis,14
Calaveras,2017,Total,Chikungunya Virus Infection,0
Calaveras,2017,Total,Cholera,0
Calaveras,2017,Total,Ciguatera Fish Poisoning,0
Calaveras,2017,Total,Coccidioidomycosis,0
Calaveras,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Calaveras,2017,Total,Cryptosporidiosis,0
Calaveras,2017,Total,Cyclosporiasis,0
Calaveras,2017,Total,Cysticercosis or Taeniasis,0
Calaveras,2017,Total,Dengue,0
Calaveras,2017,Total,Domoic Acid Poisoning,0
Calaveras,2017,Total,E. coli O157,1
Calaveras,2017,Total,E. coli Other STEC (non-O157),0
Calaveras,2017,Total,Ehrlichiosis,0
Calaveras,2017,Total,Flavivirus Infection of Undetermined Species,0
Calaveras,2017,Total,Giardiasis,3
Calaveras,2017,Total,Hantavirus Infection,0
Calaveras,2017,Total,Hemolytic Uremic Syndrome,1
Calaveras,2017,Total,"Hepatitis E, acute infection",1
Calaveras,2017,Total,Legionellosis,0
Calaveras,2017,Total,Leprosy,0
Calaveras,2017,Total,Leptospirosis,0
Calaveras,2017,Total,Listeriosis,0
Calaveras,2017,Total,Lyme Disease,1
Calaveras,2017,Total,Malaria,0
Calaveras,2017,Total,Paralytic Shellfish Poisoning,0
Calaveras,2017,Total,"Plague, human",0
Calaveras,2017,Total,Psittacosis,0
Calaveras,2017,Total,Q Fever,0
Calaveras,2017,Total,"Rabies, human",0
Calaveras,2017,Total,Relapsing Fever,0
Calaveras,2017,Total,Salmonellosis,7
Calaveras,2017,Total,Scombroid Fish Poisoning,0
Calaveras,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Calaveras,2017,Total,Shigellosis,2
Calaveras,2017,Total,Spotted Fever Rickettsiosis,0
Calaveras,2017,Total,Streptococcal Infection (cases in food and dairy workers),1
Calaveras,2017,Total,Trichinosis,0
Calaveras,2017,Total,Tularemia,0
Calaveras,2017,Total,"Typhoid Fever, case",0
Calaveras,2017,Total,Typhus Fever,0
Calaveras,2017,Total,Vibrio Infection (non-Cholera),0
Calaveras,2017,Total,Yellow Fever,0
Calaveras,2017,Total,Yersiniosis,0
Calaveras,2017,Total,Zika Virus Infection,0
CALIFORNIA,2017,Total,Amebiasis,270
CALIFORNIA,2017,Total,Anaplasmosis,8
CALIFORNIA,2017,Total,Anthrax,0
CALIFORNIA,2017,Total,Babesiosis,6
CALIFORNIA,2017,Total,"Botulism, Foodborne",15
CALIFORNIA,2017,Total,"Botulism, Other",2
CALIFORNIA,2017,Total,"Botulism, Wound",22
CALIFORNIA,2017,Total,Brucellosis,29
CALIFORNIA,2017,Total,Campylobacteriosis,9488
CALIFORNIA,2017,Total,Chikungunya Virus Infection,36
CALIFORNIA,2017,Total,Cholera,0
CALIFORNIA,2017,Total,Ciguatera Fish Poisoning,3
CALIFORNIA,2017,Total,Coccidioidomycosis,7658
CALIFORNIA,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,36
CALIFORNIA,2017,Total,Cryptosporidiosis,654
CALIFORNIA,2017,Total,Cyclosporiasis,63
CALIFORNIA,2017,Total,Cysticercosis or Taeniasis,27
CALIFORNIA,2017,Total,Dengue,132
CALIFORNIA,2017,Total,Domoic Acid Poisoning,0
CALIFORNIA,2017,Total,E. coli O157,628
CALIFORNIA,2017,Total,E. coli Other STEC (non-O157),679
CALIFORNIA,2017,Total,Ehrlichiosis,3
CALIFORNIA,2017,Total,Flavivirus Infection of Undetermined Species,0
CALIFORNIA,2017,Total,Giardiasis,2582
CALIFORNIA,2017,Total,Hantavirus Infection,5
CALIFORNIA,2017,Total,Hemolytic Uremic Syndrome,61
CALIFORNIA,2017,Total,"Hepatitis E, acute infection",38
CALIFORNIA,2017,Total,Legionellosis,537
CALIFORNIA,2017,Total,Leprosy,4
CALIFORNIA,2017,Total,Leptospirosis,7
CALIFORNIA,2017,Total,Listeriosis,133
CALIFORNIA,2017,Total,Lyme Disease,173
CALIFORNIA,2017,Total,Malaria,134
CALIFORNIA,2017,Total,Paralytic Shellfish Poisoning,0
CALIFORNIA,2017,Total,"Plague, human",0
CALIFORNIA,2017,Total,Psittacosis,2
CALIFORNIA,2017,Total,Q Fever,40
CALIFORNIA,2017,Total,"Rabies, human",0
CALIFORNIA,2017,Total,Relapsing Fever,4
CALIFORNIA,2017,Total,Salmonellosis,5417
CALIFORNIA,2017,Total,Scombroid Fish Poisoning,18
CALIFORNIA,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),201
CALIFORNIA,2017,Total,Shigellosis,2649
CALIFORNIA,2017,Total,Spotted Fever Rickettsiosis,15
CALIFORNIA,2017,Total,Streptococcal Infection (cases in food and dairy workers),22
CALIFORNIA,2017,Total,Trichinosis,8
CALIFORNIA,2017,Total,Tularemia,5
CALIFORNIA,2017,Total,"Typhoid Fever, case",76
CALIFORNIA,2017,Total,Typhus Fever,98
CALIFORNIA,2017,Total,Vibrio Infection (non-Cholera),266
CALIFORNIA,2017,Total,Yellow Fever,0
CALIFORNIA,2017,Total,Yersiniosis,273
CALIFORNIA,2017,Total,Zika Virus Infection,131
Colusa,2017,Total,Amebiasis,0
Colusa,2017,Total,Anaplasmosis,0
Colusa,2017,Total,Anthrax,0
Colusa,2017,Total,Babesiosis,0
Colusa,2017,Total,"Botulism, Foodborne",1
Colusa,2017,Total,"Botulism, Other",0
Colusa,2017,Total,"Botulism, Wound",0
Colusa,2017,Total,Brucellosis,0
Colusa,2017,Total,Campylobacteriosis,9
Colusa,2017,Total,Chikungunya Virus Infection,0
Colusa,2017,Total,Cholera,0
Colusa,2017,Total,Ciguatera Fish Poisoning,0
Colusa,2017,Total,Coccidioidomycosis,0
Colusa,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Colusa,2017,Total,Cryptosporidiosis,1
Colusa,2017,Total,Cyclosporiasis,0
Colusa,2017,Total,Cysticercosis or Taeniasis,0
Colusa,2017,Total,Dengue,0
Colusa,2017,Total,Domoic Acid Poisoning,0
Colusa,2017,Total,E. coli O157,0
Colusa,2017,Total,E. coli Other STEC (non-O157),0
Colusa,2017,Total,Ehrlichiosis,0
Colusa,2017,Total,Flavivirus Infection of Undetermined Species,0
Colusa,2017,Total,Giardiasis,0
Colusa,2017,Total,Hantavirus Infection,0
Colusa,2017,Total,Hemolytic Uremic Syndrome,0
Colusa,2017,Total,"Hepatitis E, acute infection",0
Colusa,2017,Total,Legionellosis,0
Colusa,2017,Total,Leprosy,0
Colusa,2017,Total,Leptospirosis,0
Colusa,2017,Total,Listeriosis,0
Colusa,2017,Total,Lyme Disease,0
Colusa,2017,Total,Malaria,0
Colusa,2017,Total,Paralytic Shellfish Poisoning,0
Colusa,2017,Total,"Plague, human",0
Colusa,2017,Total,Psittacosis,0
Colusa,2017,Total,Q Fever,0
Colusa,2017,Total,"Rabies, human",0
Colusa,2017,Total,Relapsing Fever,0
Colusa,2017,Total,Salmonellosis,2
Colusa,2017,Total,Scombroid Fish Poisoning,0
Colusa,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Colusa,2017,Total,Shigellosis,1
Colusa,2017,Total,Spotted Fever Rickettsiosis,0
Colusa,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Colusa,2017,Total,Trichinosis,0
Colusa,2017,Total,Tularemia,0
Colusa,2017,Total,"Typhoid Fever, case",0
Colusa,2017,Total,Typhus Fever,0
Colusa,2017,Total,Vibrio Infection (non-Cholera),0
Colusa,2017,Total,Yellow Fever,0
Colusa,2017,Total,Yersiniosis,0
Colusa,2017,Total,Zika Virus Infection,0
Contra Costa,2017,Total,Amebiasis,12
Contra Costa,2017,Total,Anaplasmosis,0
